id_metrage;Titre;Type_metrage;id_demandeur
1;COUP DE FOUDRE A JAIPUR;TELEFILM;1
2;NADIA;TELEFILM;2
3;LA BETE CURIEUSE;TELEFILM;3
4;LE MEC DE LA TOMBE D'A COTE;TELEFILM;4
5;UNE FEMME D'EXCEPTION;TELEFILM;5
6;JE VOULAIS JUSTE RENTRER CHEZ MOI;TELEFILM;6
7;LOVE LOCKS;TELEFILM;7
8;BLACKPILLS/RAISING HITLER;SERIE TELEVISEE;8
9;10%/SAISON 2;SERIE TELEVISEE;9
10;"ALICE NEVERS, LE JUGE EST UNE FEMME/84 ET 85";SERIE TELEVISEE;10
11;CHRONIQUES PARISIENNES;SERIE TELEVISEE;11
12;LEO MATTEI/14 ET 15;SERIE TELEVISEE;12
13;ENGRENAGES SAISON 6/N' 7 A 12;SERIE TELEVISEE;13
14;LA MANTE;SERIE TELEVISEE;14
15;THE PACKAGE;SERIE TELEVISEE;15
16;LEBOWITZ CONTRE LEBOWITZ/9 A 12;SERIE TELEVISEE;6
17;MUNCH;SERIE TELEVISEE;16
18;LA LICORNE;SERIE TELEVISEE;17
19;JUSTE UN REGARD;SERIE TELEVISEE;18
20;THE WAY;SERIE TELEVISEE;19
21;LE BUREAU DES LEGENDES/SAISON 2;SERIE TELEVISEE;20
22;ALICE NEVERS LE JUGE EST UNE FEMME/86 ET 87;SERIE TELEVISEE;10
23;THE AFFAIR;SERIE TELEVISEE;21
24;LIANG SHENG;SERIE TELEVISEE;22
25;NOIR ENIGMA;SERIE TELEVISEE;23
26;"ALICE NEVERS, LE JUGE EST UNE FEMME/N'78 ET 79";SERIE TELEVISEE;10
27;KIM-KONG;SERIE TELEVISEE;24
28;QU'EST-CE QU'ON ATTEND POUR ETRE HEUREUX;SERIE TELEVISEE;25
29;MERE ET FILLE;SERIE TELEVISEE;26
30;FRACTAL;SERIE TELEVISEE;27
31;FILLES D'AUJOURD'HUI;TELEFILM;28
32;LE BUREAU DES LEGENDES/SAISON 2 N'1 A 8;SERIE TELEVISEE;20
33;LES HOMMES DE L'OMBRE;SERIE TELEVISEE;29
34;VENERATION;SERIE TELEVISEE;30
35;L'AMANT D'UN JOUR;LONG METRAGE;31
36;EMBRASSE MOI;LONG METRAGE;32
37;BAD BUZZ;LONG METRAGE;33
38;TELLE MERE TELLE FILLE;LONG METRAGE;34
39;MARVIN;LONG METRAGE;35
40;LA MELODIE;LONG METRAGE;36
41;LE RIRE DE MA MERE;LONG METRAGE;37
42;LE REDOUTABLE;LONG METRAGE;38
43;L'EMBARRAS DU CHOIX;LONG METRAGE;39
44;LES CARNIVORES;LONG METRAGE;40
45;GANGSTERDAM;LONG METRAGE;41
46;LA VIE DE CHATEAU;LONG METRAGE;42
47;MARIAGE BLANC;LONG METRAGE;43
48;MADAME;LONG METRAGE;44
49;LES FILLES DE REIMS;LONG METRAGE;45
50;LA DOULEUR;LONG METRAGE;46
51;JOUR J;LONG METRAGE;47
52;CA C'EST LA FAMILLE;LONG METRAGE;48
53;THIRST STREET;LONG METRAGE;49
54;LES EX;LONG METRAGE;50
55;ON THE FRENCH RIVIERA;LONG METRAGE;51
56;DIANE A LES EPAULES;LONG METRAGE;52
57;MARYLINE;LONG METRAGE;44
58;NOS ANNEES FOLLES;LONG METRAGE;53
59;STARS 80 LA SUITE;LONG METRAGE;54
60;KO;LONG METRAGE;55
61;LADIES;LONG METRAGE;32
62;120 BATTEMENTS PAR MINUTE;LONG METRAGE;56
63;JUST DIVORCED;LONG METRAGE;57
64;LE PETIT SPIROU;LONG METRAGE;58
65;BURN OUT;LONG METRAGE;59
66;SIMONE BENLOULOU;LONG METRAGE;60
67;BITTER FLOWERS;LONG METRAGE;61
68;OVERDRIVE;LONG METRAGE;62
69;MAMAN A TORT;LONG METRAGE;63
70;DEVLET AILE VE BEN;LONG METRAGE;64
71;LA FILLE DE BREST;LONG METRAGE;65
72;WAR MACHINE;LONG METRAGE;66
73;SI J'ETAIS UN HOMME;LONG METRAGE;67
74;IRIS/EX CHAOS;LONG METRAGE;68
75;MONSIEUR ET MADAME ADELMAN;LONG METRAGE;11
76;IL A DEJA TES YEUX;LONG METRAGE;32
77;"PARIS, LA BLANCHE";LONG METRAGE;69
78;JEUNE FEMME;LONG METRAGE;70
79;GC5;LONG METRAGE;41
80;DALIDA;LONG METRAGE;71
81;C'EST TOUT POUR MOI;LONG METRAGE;12
82;DJANGO MELODIES;LONG METRAGE;67
83;L'ASCENSION;LONG METRAGE;72
84;BEFIKRE;LONG METRAGE;66
85;DEMAIN ET TOUS LES AUTRES JOURS (2);LONG METRAGE;73
86;KOTO;LONG METRAGE;74
87;LA NIAQUE;LONG METRAGE;75
88;CORPORATE;LONG METRAGE;48
89;OUI MADEMOISELLE;LONG METRAGE;76
90;MON POUSSIN;LONG METRAGE;77
91;KANTOR;LONG METRAGE;78
92;AU REVOIR LA HAUT;LONG METRAGE;79
93;LA SAGE FEMME;LONG METRAGE;67
94;H4-93;LONG METRAGE;80
95;LES FANTOMES D'ISMAEL;LONG METRAGE;81
96;THE ESCAPE;LONG METRAGE;82
97;LA NUIT A DEVORE LE MONDE;LONG METRAGE;65
98;COEXISTER;LONG METRAGE;83
99;AMANT DOUBLE;LONG METRAGE;47
100;NUMERO UNE;LONG METRAGE;84
101;L'UN DANS L'AUTRE;LONG METRAGE;85
102;LOUE MOI;LONG METRAGE;86
103;UNE SAISON EN FRANCE;LONG METRAGE;87
104;LA FETE EST FINIE;LONG METRAGE;88
105;CARBONE;LONG METRAGE;89
106;LEILA;LONG METRAGE;32
107;100 % COCO;LONG METRAGE;90
108;JE VAIS MIEUX;LONG METRAGE;83
109;LE BRIO;LONG METRAGE;91
110;LA MONNAIE DE LEUR PIECE;LONG METRAGE;92
111;LE GRAND SAUT;LONG METRAGE;93
112;FALCO/29 ET 30;SERIE TELEVISEE;94
113;PROFILAGE/67 A 68/ SAISON 7;SERIE TELEVISEE;94
114;LES BEAUX MALAISES;SERIE TELEVISEE;95
115;LES 7 NAINS ET MOI;SERIE TELEVISEE;96
116;LES SPORTS INSOLITES;SERIE TELEVISEE;97
117;"ALICE NEVERS, LE JUGE EST UNE FEMME/80 ET 81";SERIE TELEVISEE;10
118;COMME DES BLEUS;SERIE TELEVISEE;98
119;ALICE IN PARIS;SERIE TELEVISEE;99
120;LEO MATTEI/N'13 ET 14;SERIE TELEVISEE;12
121;CHEFS - SAISON 2;SERIE TELEVISEE;100
122;"ALICE NEVERS, LE JUGE EST UNE FEMME/82 ET 83";SERIE TELEVISEE;10
123;STAY WITH ME;SERIE TELEVISEE;101
124;JOSEPHINE ANGE GARDIEN/N' 80;SERIE TELEVISEE;102
125;IN AMERICA;SERIE TELEVISEE;103
126;MA PIRE ANGOISSE;SERIE TELEVISEE;57
127;HEROINE(S);SERIE TELEVISEE;88
128;PROFILAGE - SAISON 7/N' 70 ET 71;SERIE TELEVISEE;94
129;RANCHO ROSA;SERIE TELEVISEE;104
130;UN CAFE AVEC...;SERIE TELEVISEE;105
131;JOSEPHINE ANGE GARDIEN/EPISODE 81;SERIE TELEVISEE;102
132;ENGRENAGES/SAISON 6/N' 1 A 6;SERIE TELEVISEE;13
133;LA VIE DEVANT ELLES/SAISON 2;SERIE TELEVISEE;5
134;JOSEPHINE ANGE GARDIEN/EPISODE 82;SERIE TELEVISEE;102
135;L'ART DU CRIME;SERIE TELEVISEE;106
136;BLACKPILLS/VIRGIN;SERIE TELEVISEE;8
137;RED OAKS;SERIE TELEVISEE;66
138;INSIDE/OUT;SERIE TELEVISEE;107
139;CLEM/SAISON 7;SERIE TELEVISEE;108
140;LES OPTIMISTES;SERIE TELEVISEE;109
141;WTF FRANCE;SERIE TELEVISEE;28
142;EMMA;SERIE TELEVISEE;110
143;PROFILAGE/N'69;SERIE TELEVISEE;94
144;04:04:02;SERIE TELEVISEE;111
145;THE COLLECTION;SERIE TELEVISEE;112
146;PROFILAGE/N'72;SERIE TELEVISEE;94
147;SHOPPING KING LOUIS;SERIE TELEVISEE;113
148;A 2H DE PARIS;LONG METRAGE;114
149;AURORE TABORT;LONG METRAGE;115
150;LOLA PATER;LONG METRAGE;70
151;MARIE FRANCINE;LONG METRAGE;116
152;CHERCHEZ LA FEMME;LONG METRAGE;117
153;PLONGER;LONG METRAGE;92
154;FLEUVE NOIR;LONG METRAGE;67
155;FLORA63;LONG METRAGE;118
156;RAID DINGUE;LONG METRAGE;119
157;ROCK ON 2;LONG METRAGE;120
158;ALIBI.COM;LONG METRAGE;121
159;VIVE LA CRISE;LONG METRAGE;122
160;DANIEL;LONG METRAGE;123
161;RODIN;LONG METRAGE;124
162;LUMIERE AMOUREUSE;LONG METRAGE;125
163;UNE VIE VIOLENTE;LONG METRAGE;45
164;EYE ON JULIET;LONG METRAGE;126
165;FREED;LONG METRAGE;127
166;LES TETES DE L'EMPLOI;LONG METRAGE;128
167;BLOCKBUSTER;LONG METRAGE;129
168;QUE LE DIABLE NOUS EMPORTE;LONG METRAGE;130
169;OTEZ MOI D'UN DOUTE;LONG METRAGE;115
170;SOUS LE MEME TOIT;LONG METRAGE;83
171;KNOCK;LONG METRAGE;67
172;HARWOOD;LONG METRAGE;127
173;MES TRESORS;LONG METRAGE;50
174;UN CONTE INDIEN;LONG METRAGE;131
175;ESPECES MENACEES;LONG METRAGE;124
176;SEULS;LONG METRAGE;33
177;L'AMOUR QU'IL NOUS FAUT;LONG METRAGE;132
178;TUDO BOM TUDO BEM;LONG METRAGE;133
179;JUSQU'A LA GARDE;LONG METRAGE;134
180;ELI LI TRA NIJI;LONG METRAGE;135
181;BIENVENUE AU GONDWANA;LONG METRAGE;110
182;BRAS OUVERTS;LONG METRAGE;136
183;BARBARA;LONG METRAGE;137
184;GAUGUIN;LONG METRAGE;92
185;ESPADRILLES;LONG METRAGE;138
186;PAULA;LONG METRAGE;139
187;SPARRING;LONG METRAGE;123
188;MARTIN SEXE FAIBLE;SERIE TELEVISEE;140
189;LOULOU;SERIE TELEVISEE;141
190;LES MEUFS;SERIE TELEVISEE;142
191;MAGIC KIDS;SERIE TELEVISEE;143
192;VOUS LES FEMMES;SERIE TELEVISEE;100
193;BLACKPILLS/PLAYGROUND;SERIE TELEVISEE;8
194;PARIS VA BIEN;SERIE TELEVISEE;144
195;LES MYSTERES DE L'AMOUR;SERIE TELEVISEE;145
196;FAIS PAS CI FAIS PAS CA/SAISON 9;SERIE TELEVISEE;146
197;LE JOUR OU J'AI INVENTE;SERIE TELEVISEE;147
198;SURROGATE PARTNER THERAPY;SERIE TELEVISEE;8
199;PROFILAGE/N' 75 ET 76;SERIE TELEVISEE;94
200;OBLOMOV;TELEFILM;148
201;MELANCOLIE ZOMBIE;SERIE TELEVISEE;149
202;CHRONIQUES PARISIENNES;SERIE TELEVISEE;11
